epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
101,2480.83,0.61909,0.39324,0.52635,0.94991,0,0.9037,0.975,0.96428,0.8142,0.9037,0.975,0.96428,0.75527,0.69243,0.59869,0.54115,1.0252,0,0.00100101,0.00100101,0.00100101
102,2505.58,0.6138,0.40393,0.53209,0.96253,0,0.90994,0.97132,0.96371,0.79193,0.90994,0.97132,0.96371,0.74084,0.71493,0.59876,0.59372,1.04192,0,0.000999911,0.000999911,0.000999911
103,2530.08,0.59024,0.38819,0.53594,0.95427,0,0.86968,0.95167,0.95534,0.79693,0.86968,0.95167,0.95534,0.71825,0.72226,0.80603,0.62331,1.03702,0,0.000998811,0.000998811,0.000998811
104,2554.59,0.60901,0.43914,0.56589,0.95402,0,0.68877,0.95498,0.89631,0.67614,0.68877,0.95498,0.89631,0.58691,0.72813,0.67326,0.64039,1.06261,0,0.000997711,0.000997711,0.000997711
105,2579.11,0.61627,0.38972,0.53434,0.95757,0,0.84143,0.77167,0.7859,0.63531,0.84143,0.77167,0.7859,0.5393,0.7614,0.63831,0.61316,1.06616,0,0.000996611,0.000996611,0.000996611
106,2603.69,0.57481,0.39669,0.52645,0.94766,0,0.79026,0.98,0.94353,0.74268,0.79026,0.98,0.94353,0.66763,0.75395,0.71146,0.58299,1.07918,0,0.000995512,0.000995512,0.000995512
107,2628.17,0.56394,0.37132,0.54777,0.92959,0,0.73996,1,0.96255,0.78747,0.73996,1,0.96255,0.7082,0.71303,0.67305,0.57571,1.03781,0,0.000994412,0.000994412,0.000994412
108,2652.67,0.56402,0.43449,0.48509,0.92918,0,0.88367,0.75167,0.81819,0.67306,0.88367,0.75167,0.81819,0.57288,0.71528,0.76322,0.6015,1.04993,0,0.000993312,0.000993312,0.000993312
109,2677.2,0.57985,0.40303,0.54623,0.95932,0,0.81218,1,0.96746,0.71817,0.81218,1,0.96746,0.65867,0.68737,0.67121,0.57135,1.04959,0,0.000992212,0.000992212,0.000992212
110,2701.71,0.61009,0.38745,0.55005,0.97085,0,0.82095,0.98,0.97449,0.71491,0.82095,0.98,0.97449,0.67454,0.72661,0.63259,0.54019,1.08133,0,0.000991112,0.000991112,0.000991112
111,2726.18,0.57075,0.35794,0.50406,0.93544,0,0.88934,0.93598,0.95716,0.74337,0.88934,0.93598,0.95716,0.69324,0.70185,0.64467,0.55721,1.03343,0,0.000990012,0.000990012,0.000990012
112,2750.69,0.57097,0.3962,0.48767,0.93411,0,0.79329,1,0.96967,0.75264,0.79329,1,0.96967,0.68476,0.6853,0.67254,0.52934,1.02312,0,0.000988912,0.000988912,0.000988912
113,2775.18,0.57101,0.38581,0.5059,0.94745,0,0.84697,0.99835,0.97113,0.69669,0.84697,0.99835,0.97113,0.62614,0.87341,0.69069,0.53187,1.14008,0,0.000987812,0.000987812,0.000987812
114,2799.66,0.55358,0.41191,0.5063,0.91973,0,0.84562,0.98061,0.96448,0.78307,0.84562,0.98061,0.96448,0.7189,0.68313,0.67504,0.47436,1.03905,0,0.000986712,0.000986712,0.000986712
115,2824.15,0.58849,0.38951,0.53202,0.95573,0,0.84227,0.98,0.95634,0.83845,0.84227,0.98,0.95634,0.78887,0.68485,0.6217,0.5896,1.0436,0,0.000985613,0.000985613,0.000985613
116,2848.86,0.55116,0.35678,0.48426,0.9376,0,0.76037,0.96236,0.96469,0.71131,0.76037,0.96236,0.96469,0.63485,0.7596,0.68556,0.58213,1.08306,0,0.000984513,0.000984513,0.000984513
117,2873.35,0.56807,0.40826,0.49927,0.92061,0,0.75794,0.96244,0.95729,0.70613,0.75794,0.96244,0.95729,0.67029,0.76226,0.69086,0.5871,1.1021,0,0.000983413,0.000983413,0.000983413
118,2897.81,0.57725,0.39629,0.51092,0.95365,0,0.78687,0.95912,0.958,0.71794,0.78687,0.95912,0.958,0.65449,0.70892,0.68261,0.60829,1.0803,0,0.000982313,0.000982313,0.000982313
119,2922.35,0.54233,0.40548,0.46781,0.92434,0,0.8772,0.9902,0.95947,0.73274,0.8772,0.9902,0.95947,0.65491,0.7027,0.67574,0.54901,1.0683,0,0.000981213,0.000981213,0.000981213
120,2946.86,0.52904,0.41104,0.48099,0.92904,0,0.90067,0.97532,0.96509,0.7639,0.90067,0.97532,0.96509,0.68043,0.71572,0.69854,0.53342,1.08983,0,0.000980113,0.000980113,0.000980113
121,2971.36,0.55224,0.39958,0.51254,0.95942,0,0.86328,0.99824,0.97141,0.73592,0.86328,0.99824,0.97141,0.64619,0.71419,0.7455,0.48023,1.07724,0,0.000979013,0.000979013,0.000979013
